hora,cpu,ram,disco,net_enviada,net_recibida
2026-05-11 19:42:30,3.1,75.6,22.7,523832337,2274243618
2026-05-11 19:42:31,1.4,75.6,22.7,523832337,2274243720
2026-05-11 19:42:32,1.1,75.6,22.7,523832408,2274243930
2026-05-11 19:42:33,3.1,75.6,22.7,523832408,2274244032
2026-05-11 19:42:34,2.3,75.6,22.7,523837267,2274251980
2026-05-11 19:42:35,2.7,75.6,22.7,523837901,2274257253
2026-05-11 19:42:36,4.9,75.6,22.7,523838046,2274259025
2026-05-11 19:42:37,3.8,75.6,22.7,523838136,2274259731
2026-05-11 19:42:38,4.5,75.6,22.7,523838207,2274259857
2026-05-11 19:42:39,4.4,75.5,22.7,523838207,2274259959
2026-05-11 19:42:40,3.4,75.5,22.7,523838207,2274260103
2026-05-11 19:42:41,3.5,75.5,22.7,523838349,2274260297
2026-05-11 19:42:42,3.9,75.5,22.7,523838349,2274260399
2026-05-11 19:42:43,4.9,75.5,22.7,523838349,2274260441
2026-05-11 19:42:44,2.0,75.4,22.7,523840270,2274266244
2026-05-11 19:42:45,5.0,75.4,22.7,523840270,2274266304
2026-05-11 19:42:46,2.3,75.4,22.7,523840406,2274266685
2026-05-11 19:42:47,3.1,75.7,22.7,523840477,2274267259
2026-05-11 19:42:48,5.2,75.8,22.7,523840532,2274267529
2026-05-11 19:42:49,8.4,76.2,22.7,523858217,2274268219
2026-05-11 19:42:50,39.2,76.4,22.7,523948601,2274303658
2026-05-11 19:42:51,15.8,76.5,22.7,523951311,2274349110
2026-05-11 19:42:52,9.6,76.5,22.7,523951311,2274349578
2026-05-11 19:42:53,11.0,76.4,22.7,523953240,2274350667
2026-05-11 19:42:54,12.3,76.4,22.7,523953738,2274351331
2026-05-11 19:42:55,9.8,76.4,22.7,523954022,2274351637
2026-05-11 19:42:56,9.0,76.4,22.7,523954164,2274352237
2026-05-11 19:42:57,10.3,76.1,22.7,523954325,2274353459
2026-05-11 19:42:58,8.2,76.1,22.7,523954396,2274357277
2026-05-11 19:42:59,8.3,75.8,22.7,523954396,2274358979
